,E,Cs
0,0,385
1,3,687
2,6,719
3,9,757
4,12,829
5,15,1042
6,18,1161
7,21,1730
8,24,3612
9,27,5812
10,30,5231
11,33,2569
12,36,1462
13,39,1098
14,42,843
15,45,789
16,48,817
17,51,799
18,54,875
19,57,856
20,60,967
21,63,965
22,66,986
23,69,1215
24,72,1464
25,75,1354
26,78,1179
27,81,1093
28,84,1171
29,87,1124
30,90,1065
31,93,1028
32,96,966
33,99,972
34,102,1021
35,105,1028
36,108,1044
37,111,1152
38,114,1119
39,117,1088
40,120,1094
41,123,1053
42,126,1051
43,129,1115
44,132,1052
45,135,1087
46,138,1040
47,141,1107
48,144,1008
49,147,1038
50,150,1077
51,153,1041
52,156,995
53,159,1011
54,162,1058
55,165,981
56,168,950
57,171,1025
58,174,1064
59,177,1106
60,180,1208
61,183,1296
62,186,1388
63,189,1385
64,192,1389
65,195,1355
66,198,1378
67,201,1193
68,204,1325
69,207,1302
70,210,1276
71,213,1312
72,216,1233
73,219,1191
74,222,1174
75,225,1139
76,228,1117
77,231,1131
78,234,1077
79,237,1034
80,240,1023
81,243,1091
82,246,1038
83,249,1059
84,252,1056
85,255,986
86,258,1023
87,261,954
88,264,988
89,267,962
90,270,963
91,273,926
92,276,1011
93,279,915
94,282,957
95,285,922
96,288,951
97,291,941
98,294,959
99,297,857
100,300,838
101,303,964
102,306,844
103,309,922
104,312,929
105,315,901
106,318,884
107,321,841
108,324,874
109,327,887
110,330,852
111,333,838
112,336,874
113,339,840
114,342,879
115,345,845
116,348,862
117,351,826
118,354,838
119,357,843
120,360,871
121,363,851
122,366,803
123,369,826
124,372,878
125,375,802
126,378,818
127,381,886
128,384,810
129,387,889
130,390,869
131,393,859
132,396,899
133,399,833
134,402,820
135,405,803
136,408,876
137,411,887
138,414,829
139,417,841
140,420,825
141,423,924
142,426,933
143,429,844
144,432,854
145,435,870
146,438,947
147,441,837
148,444,900
149,447,910
150,450,863
151,453,873
152,456,948
153,459,958
154,462,863
155,465,875
156,468,774
157,471,777
158,474,721
159,477,656
160,480,608
161,483,556
162,486,494
163,489,527
164,492,463
165,495,454
166,498,440
167,501,399
168,504,391
169,507,385
170,510,378
171,513,419
172,516,368
173,519,363
174,522,361
175,525,339
176,528,342
177,531,358
178,534,349
179,537,340
180,540,293
181,543,327
182,546,328
183,549,312
184,552,329
185,555,307
186,558,286
187,561,308
188,564,306
189,567,294
190,570,273
191,573,264
192,576,284
193,579,320
194,582,258
195,585,293
196,588,289
197,591,259
198,594,256
199,597,267
200,600,275
201,603,277
202,606,281
203,609,337
204,612,298
205,615,311
206,618,296
207,621,298
208,624,365
209,627,457
210,630,630
211,633,849
212,636,1317
213,639,1976
214,642,2807
215,645,3761
216,648,4852
217,651,5861
218,654,6654
219,657,7161
220,660,7242
221,663,6975
222,666,6110
223,669,5121
224,672,4079
225,675,2880
226,678,2073
227,681,1266
228,684,752
229,687,448
230,690,239
231,693,124
232,696,62
233,699,31
234,702,16
235,705,7
236,708,4
237,711,2
238,714,2
239,717,2
240,720,4
241,723,1
242,726,1
243,729,2
244,732,0
245,735,4
246,738,3
247,741,4
248,744,5
249,747,1
250,750,0
251,753,4
252,756,0
253,759,1
254,762,1
255,765,0
256,768,3
257,771,0
258,774,4
259,777,0
260,780,3
261,783,1
262,786,2
263,789,1
264,792,2
265,795,1
266,798,1
267,801,1
268,804,0
269,807,2
270,810,2
271,813,3
272,816,2
273,819,3
274,822,2
275,825,1
276,828,1
277,831,0
278,834,1
279,837,0
280,840,1
281,843,0
282,846,1
283,849,0
284,852,2
285,855,0
286,858,2
287,861,1
288,864,1
289,867,0
290,870,0
291,873,1
292,876,0
293,879,2
294,882,0
295,885,3
296,888,2
297,891,2
298,894,2
299,897,1
300,900,1
301,903,2
302,906,0
303,909,1
304,912,0
305,915,1
306,918,1
307,921,2
308,924,0
309,927,1
310,930,1
311,933,0
312,936,0
313,939,0
314,942,0
315,945,0
316,948,0
317,951,1
318,954,1
319,957,2
320,960,0
321,963,1
322,966,0
323,969,0
324,972,1
325,975,1
326,978,1
327,981,1
328,984,0
329,987,0
330,990,0
331,993,1
332,996,0
333,999,1
334,1002,1
335,1005,0
336,1008,0
337,1011,0
338,1014,0
339,1017,0
340,1020,2
341,1023,1
342,1026,1
343,1029,0
344,1032,0
345,1035,0
346,1038,1
347,1041,0
348,1044,1
349,1047,0
350,1050,0
351,1053,0
352,1056,2
353,1059,0
354,1062,0
355,1065,0
356,1068,0
357,1071,1
358,1074,0
359,1077,0
360,1080,0
361,1083,1
362,1086,0
363,1089,1
364,1092,1
365,1095,0
366,1098,0
367,1101,0
368,1104,0
369,1107,0
370,1110,0
371,1113,2
372,1116,0
373,1119,0
374,1122,1
375,1125,0
376,1128,1
377,1131,1
378,1134,0
379,1137,0
380,1140,1
381,1143,0
382,1146,0
383,1149,1
384,1152,0
385,1155,0
386,1158,0
387,1161,0
388,1164,0
389,1167,1
390,1170,0
391,1173,0
392,1176,0
393,1179,0
394,1182,0
395,1185,0
396,1188,1
397,1191,0
398,1194,0
399,1197,0
400,1200,0
401,1203,0
402,1206,0
403,1209,0
404,1212,0
405,1215,1
406,1218,0
407,1221,1
408,1224,1
409,1227,0
410,1230,1
411,1233,0
412,1236,0
413,1239,1
414,1242,1
415,1245,0
416,1248,1
417,1251,0
418,1254,0
419,1257,1
420,1260,0
421,1263,1
422,1266,0
423,1269,0
424,1272,0
425,1275,0
426,1278,0
427,1281,0
428,1284,0
429,1287,0
430,1290,0
431,1293,0
432,1296,0
433,1299,0
434,1302,0
435,1305,0
436,1308,0
437,1311,0
438,1314,0
439,1317,0
440,1320,0
441,1323,0
442,1326,1
443,1329,0
444,1332,1
445,1335,0
446,1338,0
447,1341,0
448,1344,1
449,1347,0
450,1350,0
451,1353,0
452,1356,0
453,1359,0
454,1362,0
455,1365,0
456,1368,0
457,1371,0
458,1374,0
459,1377,0
460,1380,0
461,1383,0
462,1386,0
463,1389,0
464,1392,0
465,1395,0
466,1398,0
467,1401,0
468,1404,0
469,1407,0
470,1410,0
471,1413,0
472,1416,0
473,1419,0
474,1422,0
475,1425,0
476,1428,0
477,1431,0
478,1434,0
479,1437,0
480,1440,0
481,1443,0
482,1446,0
483,1449,0
484,1452,0
485,1455,0
486,1458,0
487,1461,0
488,1464,0
489,1467,0
490,1470,0
491,1473,0
492,1476,0
493,1479,0
494,1482,0
495,1485,0
496,1488,0
497,1491,0
498,1494,0
499,1497,0
500,1500,0
501,1503,0
502,1506,0
503,1509,0
504,1512,0
505,1515,0
506,1518,0
507,1521,0
508,1524,0
509,1527,0
510,1530,0
511,1533,0
512,1536,0
513,1539,0
514,1542,0
515,1545,0
516,1548,0
517,1551,0
518,1554,0
519,1557,0
520,1560,0
521,1563,0
522,1566,0
523,1569,0
524,1572,0
525,1575,0
526,1578,0
527,1581,0
528,1584,0
529,1587,0
530,1590,0
531,1593,0
532,1596,0
533,1599,0
534,1602,0
535,1605,0
536,1608,0
537,1611,0
538,1614,0
539,1617,0
540,1620,0
541,1623,0
542,1626,0
543,1629,0
544,1632,0
545,1635,0
546,1638,0
547,1641,0
548,1644,0
549,1647,0
550,1650,0
551,1653,0
552,1656,0
553,1659,0
554,1662,0
555,1665,0
556,1668,0
557,1671,0
558,1674,0
559,1677,0
560,1680,0
561,1683,0
562,1686,0
563,1689,0
564,1692,0
565,1695,0
566,1698,0
567,1701,0
568,1704,0
569,1707,0
570,1710,0
571,1713,0
572,1716,0
573,1719,0
574,1722,0
575,1725,0
576,1728,0
577,1731,0
578,1734,0
579,1737,0
580,1740,0
581,1743,0
582,1746,0
583,1749,0
584,1752,0
585,1755,0
586,1758,0
587,1761,0
588,1764,0
589,1767,0
590,1770,0
591,1773,0
592,1776,0
593,1779,0
594,1782,0
595,1785,0
596,1788,0
597,1791,0
598,1794,1
599,1797,0
600,1800,0
601,1803,0
602,1806,0
603,1809,0
604,1812,0
605,1815,0
606,1818,0
607,1821,0
608,1824,0
609,1827,0
610,1830,0
611,1833,0
612,1836,0
613,1839,0
614,1842,0
615,1845,0
616,1848,0
617,1851,0
618,1854,1
619,1857,0
620,1860,0
621,1863,0
622,1866,0
623,1869,0
624,1872,0
625,1875,0
626,1878,0
627,1881,0
628,1884,0
629,1887,0
630,1890,0
631,1893,0
632,1896,0
633,1899,0
634,1902,0
635,1905,0
636,1908,0
637,1911,0
638,1914,0
639,1917,0
640,1920,0
641,1923,0
642,1926,0
643,1929,0
644,1932,0
645,1935,0
646,1938,0
647,1941,0
648,1944,0
649,1947,0
650,1950,0
651,1953,0
652,1956,0
653,1959,0
654,1962,0
655,1965,0
656,1968,0
657,1971,0
658,1974,0
659,1977,0
660,1980,0
661,1983,0
662,1986,0
663,1989,0
664,1992,0
665,1995,0
666,1998,0
667,2001,0
668,2004,0
669,2007,0
670,2010,0
671,2013,0
672,2016,0
673,2019,0
674,2022,0
675,2025,0
676,2028,0
677,2031,0
678,2034,0
679,2037,0
680,2040,0
681,2043,0
682,2046,0
683,2049,0
684,2052,0
685,2055,0
686,2058,0
687,2061,0
688,2064,0
689,2067,0
690,2070,0
691,2073,0
692,2076,0
693,2079,0
694,2082,0
695,2085,0
696,2088,0
697,2091,0
698,2094,0
699,2097,0
700,2100,0
701,2103,0
702,2106,0
703,2109,0
704,2112,0
705,2115,0
706,2118,0
707,2121,0
708,2124,0
709,2127,0
710,2130,0
711,2133,0
712,2136,0
713,2139,0
714,2142,0
715,2145,0
716,2148,0
717,2151,0
718,2154,0
719,2157,0
720,2160,0
721,2163,0
722,2166,0
723,2169,0
724,2172,0
725,2175,0
726,2178,0
727,2181,0
728,2184,0
729,2187,0
730,2190,0
731,2193,0
732,2196,0
733,2199,0
734,2202,0
735,2205,0
736,2208,0
737,2211,0
738,2214,0
739,2217,0
740,2220,0
741,2223,0
742,2226,0
743,2229,0
744,2232,0
745,2235,0
746,2238,0
747,2241,0
748,2244,0
749,2247,0
750,2250,0
751,2253,0
752,2256,0
753,2259,0
754,2262,0
755,2265,0
756,2268,0
757,2271,0
758,2274,0
759,2277,0
760,2280,0
761,2283,0
762,2286,0
763,2289,0
764,2292,0
765,2295,0
766,2298,0
767,2301,0
768,2304,0
769,2307,0
770,2310,0
771,2313,0
772,2316,0
773,2319,0
774,2322,0
775,2325,0
776,2328,0
777,2331,0
778,2334,0
779,2337,0
780,2340,0
781,2343,0
782,2346,0
783,2349,0
784,2352,0
785,2355,0
786,2358,0
787,2361,0
788,2364,0
789,2367,0
790,2370,0
791,2373,0
792,2376,0
793,2379,0
794,2382,0
795,2385,0
796,2388,0
797,2391,0
798,2394,0
799,2397,0
800,2400,0
801,2403,0
802,2406,0
803,2409,0
804,2412,0
805,2415,0
806,2418,0
807,2421,0
808,2424,0
809,2427,0
810,2430,0
811,2433,0
812,2436,0
813,2439,0
814,2442,0
815,2445,0
816,2448,0
817,2451,0
818,2454,0
819,2457,0
820,2460,0
821,2463,0
822,2466,0
823,2469,0
824,2472,0
825,2475,0
826,2478,0
827,2481,0
828,2484,0
829,2487,0
830,2490,0
831,2493,0
832,2496,0
833,2499,0
834,2502,0
835,2505,0
836,2508,0
837,2511,0
838,2514,0
839,2517,0
840,2520,0
841,2523,0
842,2526,0
843,2529,0
844,2532,0
845,2535,0
846,2538,0
847,2541,0
848,2544,0
849,2547,0
850,2550,0
851,2553,0
852,2556,0
853,2559,0
854,2562,0
855,2565,0
856,2568,0
857,2571,0
858,2574,0
859,2577,0
860,2580,0
861,2583,0
862,2586,0
863,2589,0
864,2592,0
865,2595,0
866,2598,0
867,2601,0
868,2604,0
869,2607,0
870,2610,0
871,2613,0
872,2616,0
873,2619,0
874,2622,0
875,2625,0
876,2628,0
877,2631,0
878,2634,0
879,2637,0
880,2640,0
881,2643,0
882,2646,0
